Events
200
Subject	Context	Name	Time (s)	Description
Ref_01_FB	Left	Foot Strike	2.385	The instant the heel strikes the ground
Ref_01_FB	Left	Foot Off	3.094	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	3.483	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Off	2.505	The instant the toe leaves the ground
Ref_01_FB	Right	Foot Strike	2.965	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Off	3.668	The instant the toe leaves the ground
Ref_01_FB	Right	Foot Strike	4.07	The instant the heel strikes the ground

Devices
1000
		FP1_AMTI10919M - Force			FP1_AMTI10919M - Moment			FP1_AMTI10919M - CoP			FP2_AMTI10974M - Force			FP2_AMTI10974M - Moment			FP2_AMTI10974M - CoP			FP3_AMTI10975M - Force			FP3_AMTI10975M - Moment			FP3_AMTI10975M - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
485	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.0817	-2.80381	-201.714	39884	8754.52	1828.27	-75.5276	3026.03	326.091
485	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.8222	0.992874	-205.442	40651.2	8964.37	1940.43	-75.3777	3026.55	326.186
485	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.1101	3.79173	-209.719	41035	9100.55	2039.04	-75.6755	3029.22	326.668
485	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.303	6.4924	-211.438	41494.6	9079.12	2146.11	-76.1524	3029.08	326.643
486	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.5047	11.1672	-213.905	41879.3	9422.17	2392.72	-75.0401	3030.29	326.862
486	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.882	14.5647	-214.394	42338.6	9318.89	2521.9	-75.6406	3029.16	326.657
486	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.0759	17.5078	-216.438	42492.4	9433.53	2745.55	-75.4627	3030.75	326.944
486	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.5387	18.8363	-217.67	43106.4	9647.29	2839.88	-74.7197	3029.26	326.676
486	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.2731	21.2575	-220.91	43565.4	9475.06	2919.73	-76.174	3030.41	326.882
487	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.8273	23.7635	-221.561	43796.2	9687.33	3031.97	-75.3618	3030.33	326.869
487	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.4677	24.3936	-224.023	43950.8	9981.81	3122.13	-74.5123	3031.84	327.142
487	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	13.6478	24.2296	-225.156	44027.1	9906.06	3108.51	-75.0749	3032.44	327.249
487	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.9305	25.8162	-227.812	44333.2	9816.37	3166.27	-75.9931	3033.55	327.449
487	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.9342	26.6573	-228.396	44256.6	9819.94	3148.43	-76.1325	3034.48	327.617
488	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	12.0269	26.2062	-229.95	44945.6	9688.6	2996.07	-77.0887	3032.73	327.301
488	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	11.6658	26.4801	-232.475	45176.5	9936.35	2911.87	-76.5816	3033.84	327.501
488	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	11.4858	26.7233	-232.799	45176.6	9962.15	2769.01	-76.6499	3034.13	327.554
488	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	11.3044	26.6896	-234.645	45406.9	10043	2746.87	-76.6672	3034.63	327.644
488	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	10.5788	26.5248	-239.825	45867.7	10283.2	2698.35	-76.6474	3036.74	328.025
489	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	10.5759	25.9559	-241.767	46328.9	10608.6	2609.87	-75.7208	3036.27	327.94
489	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	9.49361	26.896	-244.909	47402	10704.9	2480.45	-76.0244	3034.46	327.614
489	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	9.31679	27.9607	-248.763	48014.7	10642.9	2377.44	-77.054	3035.08	327.724
489	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	8.41413	28.6081	-252.325	48859.3	11022.6	2409.67	-76.1801	3034.5	327.62
489	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	7.69651	30.1452	-255.726	49856.1	11197.9	2276.02	-76.2279	3033.35	327.414
490	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	6.80344	32.9449	-260.004	50393.3	11372.1	2160.29	-76.4508	3034.77	327.669
490	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	5.00249	35.0857	-263.665	51467	11590.2	2218.83	-76.2665	3033.63	327.464
