Events
200
Subject	Context	Name	Time (s)	Description
Ref_01_FB	Left	Foot Off	2.67	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	3.066	The instant the heel strikes the ground
Ref_01_FB	Left	Foot Off	3.737	The instant the toe leaves the ground
Ref_01_FB	Left	Foot Strike	4.13	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Strike	2.534	The instant the heel strikes the ground
Ref_01_FB	Right	Foot Off	3.202	The instant the toe leaves the ground
Ref_01_FB	Right	Foot Strike	3.606	The instant the heel strikes the ground

Devices
1000
		FP1_AMTI10919M - Force			FP1_AMTI10919M - Moment			FP1_AMTI10919M - CoP			FP2_AMTI10974M - Force			FP2_AMTI10974M - Moment			FP2_AMTI10974M - CoP			FP3_AMTI10975M - Force			FP3_AMTI10975M - Moment			FP3_AMTI10975M - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm	N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
481	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
481	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
482	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
482	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
482	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
482	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
482	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
483	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
483	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
483	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
483	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
483	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
484	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
484	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
484	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
484	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
484	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
485	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
485	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
485	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
485	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
485	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
486	0	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
486	1	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
486	2	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
486	3	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
486	4	-0	0	0	-0	0	0	-121.603	4423.82	578.538	0	0	0	0	0	0	111.415	3824.26	469.625	-0	0	0	-0	0	0	-120.677	3224.25	361.858
